"№","Issue (green means fixed)","","","","","","","","","","","","","","","","","","","","","","","",""
"1","None of the JAT wheels are available on GMC Brigadier 8000","","","","","","","","","","","","","","","","","","","","","","","",""
"2","JAT medium doubles on TUZ 16 ""Actaeon"" and TUZ 108 ""Warthog"" instead of singles","","","","","","","","","","","","","","","","","","","","","","","",""
"3","Light JAT wheels on Chevrolet Apache, Khan 39 Marshall and YAR 87, which have suspension tuned for medium wheels. Will lead to softer suspension than intended","","","","","","","","","","","","","","","","","","","","","","","",""
"4","Superheavy JAT wheels on TUZ 420 ""Tatarin"", which has suspension tuned for heavy wheels. Will lead to much stiffer suspension than intended","","","","","","","","","","","","","","","","","","","","","","","",""
"5","JAT HHD, JAT OHS and JAT MHS IV, V and VI wheels are not aligned properly on International Paystar 5070, appear floating to the side of the wheel hubs","","","","","","","","","","","","","","","","","","","","","","","",""
"6","JAT MS I and II have reversed treads on both front and rear tires","","","","","","","","","","","","","","","","","","","","","","","",""
"7","JAT OHS III have reverse treads on both front and rear tires","","","","","","","","","","","","","","","","","","","","","","","",""
"8","JAT MHS I and III have reversed treads on both front and rear tires","","","","","","","","","","","","","","","","","","","","","","","",""
"9","JAT ATMD III have reversed treads on both front and rear tires","","","","","","","","","","","","","","","","","","","","","","","",""
"10","JAT MMD I have reversed treads on front tires only","","","","","","","","","","","","","","","","","","","","","","","",""
"11","JAT MMD II and III have reversed treads on rear tires only","","","","","","","","","","","","","","","","","","","","","","","",""
