"Support my work: Шаблон Template","Название Name","Ko-fi.com/vladvulcan or donate directly to PayPal (recepient email address: vladvulcan578@gmail.com). Donations are very welcome!  Совместимые авто Compatible Vehicles","Кр. момент Torque","Крит. порог урона Critical Damage Threshold","Прочность Damage Capacity","Крит. урон Critical Damage","Крит. прочность Critical Durability","DARK GREEN - SEASON 18 CHANGES Множитель расхода в поврежд. сост. Damaged Consumption Modifier","Отзывчи-вость Engine Respon-siveness","DARK PURPLE - DLC TRUCK Расход топлива Fuel Consum-ption","Соотношение момент/расход Torque/consum-ption rating","LIGHT PURPLE - DLC SCOUT Множитель мощности в поврежд. сост. Damaged Max Torque Multiplier","Нужно искать Exploration lock","Цена Price","","","","","","","","","","","","","","","","","",""
"RU_SCOUT_MODERN","Kr 135-T","YAR 87, KHAN 317 Sentinel, KHAN 39 Marshall","70000","70%","120","84","36","120%","35,0%","1,5","46,67","60%","FALSE","1900","","","","","","","","","","","","","","","","","",""
"RU_SCOUT_MODERN","Azov AM-4v 146","","80000","70%","150","105","45","130%","40,0%","1,7","47,06","70%","TRUE","5500","","","","","","","","","","","","","","","","","",""
"RU_SCOUT_MODERN","Azov AM-4v 160","","90000","70%","170","119","51","140%","45,0%","1,9","47,37","80%","TRUE","6600","","","","","","","","","","","","","","","","","",""
"RU_SCOUT_OLD","Kr 104","DON 71, Gor BY-4, KHAN Lo4F, TUZ 166, KHAN 39 Marshall","30000","70%","120","84","36","110%","4,0%","0,6","50,00","60%","FALSE","1500","","","","","","","","","","","","","","","","","",""
"RU_SCOUT_OLD","Kr 115","","40000","70%","120","84","36","130%","9,0%","1,1","36,36","70%","TRUE","4700","","","","","","","","","","","","","","","","","",""
"RU_SCOUT_OLD","Kr 120-АТ","","46500","70%","170","119","51","140%","14,0%","1,4","33,21","70%","TRUE","6000","","","","","","","","","","","","","","","","","",""
"RU_SCOUT_OLD","Kr 'Kastom' 160","","72000","40%","70","28","42","160%","8,0%","1,9","37,89","60%","TRUE","7500","","","","","","","","","","","","","","","","","",""
"RU_SCOUT_OLD_DON","Kr 71.C","DON 71","25000","60%","100","60","40","160%","2,0%","0,7","35,71","50%","FALSE","1700","","","","","","","","","","","","","","","","","",""
"RU_SCOUT_OLD_TUZ","Kr 37 model 166","TUZ 166","20000","50%","80","40","40","200%","1,0%","0,4","50,00","40%","FALSE","1700","","","","","","","","","","","","","","","","","",""
"RU_TRUCK_MODERN","Azov AM-8 14","Azov 43-191 ""Sprinter"", Azov 5319, Azov 64131, TUZ 108 ""Warthog"", Tatra Phoenix, Voron Grad, Azov 67096 ""Atom""","170000","60%","210","126","84","120%","4,2%","6,0","28,33","80%","FALSE","3000","","","","","","","","","","","","","","","","","",""
"RU_TRUCK_MODERN","Azov AM-8 15,3","","190000","60%","230","138","92","130%","4,2%","7,0","27,14","80%","TRUE","10200","","","","","","","","","","","","","","","","","",""
"RU_TRUCK_MODERN","Azov AM-8 16,1","","210000","60%","250","150","100","110%","4,2%","8,5","24,71","80%","TRUE","11100","","","","","","","","","","","","","","","","","",""
"RU_TRUCK_MODERN_GRAD","IMZ-8 17,0T","Tatra PHOENIX, Voron Grad, Azov 67096 ""Atom""","235000","70%","180","126","54","120%","4,2%","8,2","28,66","80%","TRUE","13200","","","","","","","","","","","","","","","","","",""
"RU_AZOV_SPRINTER","Azov SAM-8 14","Azov 43-191 ""Sprinter""","250000","60%","210","126","84","120%","4,2%","6,0","41,67","80%","TRUE","10900","","","","","","","","","","","","","","","","","",""
"RU_TRUCK_OLD","LAZ 6 T60","KRS 58 ""Bandit"", Step 310Е, Step 33-64 ""Crocodile"", Step 39331 ""Pike"", Tatra 805, TUZ 16 ""Actaeon"", ZiKZ 5368, ZiKZ 566A","130000","80%","180","144","36","160%","","4,5","28,89","60%","FALSE","2500","","","","","","","","","","","","","","","","","",""
"RU_TRUCK_OLD","LAZ 6 T195","","140000","70%","200","140","60","170%","","5,5","25,45","70%","TRUE","7200","","","","","","","","","","","","","","","","","",""
"RU_TRUCK_OLD","IMZ-6 210","","160000","70%","240","168","72","180%","","6,0","26,67","60%","TRUE","9000","","","","","","","","","","","","","","","","","",""
"RU_TRUCK_OLD","LAZ 6 TA240","","185000","50%","120","60","60","210%","","7,5","24,67","60%","TRUE","11300","","","","","","","","","","","","","","","","","",""
"RU_TRUCK_OLD_STEP_310E","LAZ 6T173 ""Voin""","Step 310Е","150000","50%","150","75","75","200%","","5,0","30,00","50%","FALSE","2900","","","","","","","","","","","","","","","","","",""
"RU_TRUCK_OLD_ZIKZ_566A","IMZ-6 370","ZiKZ 566A","200000","70%","100","70","30","170%","","8,5","23,53","40%","TRUE","16200","","","","","","","","","","","","","","","","","",""
