"English Season 18 Last Updated:
June 26th, 2026 This work was made possible thanks to J.S. Mill and his orignal spreadsheet here Make and Model","Support me: ko-fi.com/vladvulcan or donate directly to PayPal (recepient email address: vladvulcan578@gmail.com). Donations are very welcome!  DLC Required","Needs to be unlocked","Unlocked by","Rank
requirement","Found in region","Found on map","Contract or task name for unlock","Vehicle Class","Truck Store Price","Drivetrain","All-wheel drive","Differential locking","Tire Diameter Stock (in)","Scale stock","Tire Diameter Max (in)","Scale max","Fuel Capacity (L)","Top Engine Torque","Total Mass with wheels","Torque to Mass Ratio","Gearboxes","Winches","Steering axles","Support me: ko-fi.com/vladvulcan or donate directly to PayPal (recepient email address: vladvulcan578@gmail.com). Donations are very welcome!  Raised Suspension","Custom Suspension","Crawler
Suspension","Active Suspension","Double all-terrain tires","Single all-terrain tires","Double offroad tires","Single offroad tires","Mud tires","Flotation tires","Chained tires","Mass per tire","Rear axle mass scale (for doubles)","Recommended by VladVulcan","Truck Trailer","Scout Trailer","Farming Trailer","Saddle Low","Saddle Low Tankers","Saddle High","Saddle High Tanker","Loading Crane","Support me: ko-fi.com/vladvulcan or donate directly to PayPal (recepient email address: vladvulcan578@gmail.com). Donations are very welcome!  Big Crane","Superheavy Crane","Log Crane","1-slot Bed","2-slot Bed","3-slot Bed ","4-slot Bed ","Crane + Saddle combo ","Short Log Addon","Medium Log Addon","Log Carrier Front (Long logs)","LogCrane + LowSaddle Combo","Futom Logging Trailers","Foldable Logging Semitrailer (Long Logs)","Frame Fuel Tank (L)","Frame Water Tank (L)","Van Body Addon (Repairs - Wheels)","Frame Maintenance Addon (Repairs - Wheels - Fuel)","Multi-purpose Cargo Module
(Repairs - Wheels - Fuel)","Support me: ko-fi.com/vladvulcan or donate directly to PayPal (recepient email address: vladvulcan578@gmail.com). Donations are very welcome!  Roof Rack with supplies (Repairs -Wheels - Fuel)","Maximum Supplies
(Repairs -Wheels - Fuel)","Spare wheel addon (Pcs)","Seismic Vibrator","Metal Detector","Metal Detector+ anything combo","Towing Platform","Base Engine","Stock Torque","Torque-to-Mass ratio
stock","Truck file name
in the initial.pak","","",""
"HIB Billert M816","Year 5
Season 18","TRUE","Task","","Chiapas","Costa Atardecer","""Fix and fuel up the truck""","Highway","$34 800","6x6","Switchable","Switchable","46","0,58","49","0,62","280","182950","10256","17,84","Custom (M816)","Medium","1, front","Raised","","","","ATMD;
JAT ATHD (DLC)
M816 tires","","OHD;
JAT OHD (DLC)","","","","OHD chains","220","x2","OHD I","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","SaddleHigh","Fuel Heavy Semi (5000L)","SLEI-64","","","LP-4","1-slot cargo
Bed +Crane +Trailer","","","","Both saddles + crane","","","LogCarrierFront","LogCrane + LowSaddle","Futom-S logging trailer
Futom-M logging trailer","YES","","","800-6","","","150-0-200","","","","","","","","115808","11,29","hib_billert_m816.xml","","",""
"Mercer R230","Year 5
Season 18","TRUE","Task","","Chiapas","Sierra Fuerte","""Back to work""","Offroad","$95 400","6x6","Always On","Switchable","47","0,60","51","0,65","320","165240","10720","15,41","Special (R230)","Medium","1, front","Raised","","Crawler","","ATMD;
JAT ATHD (DLC)","","OHD;
JAT OHD (DLC)
R230 tires","","","","OHD chains","200","x2","OHD I","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","","","IM50
LC 3.8","","","LP-4","1-slot cargo
Bed +Crane +Trailer","2-slot Cargo Bed","","","Saddle Low + crane","Short Logs Addon","","LogCarrierFront +LogCrane","LogCrane + LowSaddle","Futom-S logging trailer
Futom-M logging trailer","","1800","1800","800-6","450-4-140","","","","2","SeismicVibrator +Trailer","","","Articulated Towing Platform","","120250","11,22","mercer_6x6r_230.xml","","",""
"AAC 58DW","Year 4
Season 13","TRUE","Task","","Almaty Region","Zherbai Quarries","""A Great Deal""","Scout","$24 000","4x4","Switchable","Always On","32","0,41","35","0,44","60","110000","4016","27,39","Scout+
Special (AAC)","Scout","1, front","Raised","","","","","AS;
Ultima AT (DLC)","","OS + JAT OS;
AAC-58DW tires","MS;
JAT MS (DLC)","","CS;
Ultima CS (DLC)","75","","AAC 58DW tires
JAT MS III","","Scout Trailer","","","","","","","","","","","","","","","","","","","","","","","","","","150-0-120","","2","","","","","AAT-6V 4,0","35000","8,72","aac_58dw.xml","","",""
"ANK Mk.38","","TRUE"," Exploration","","Alaska","Pedro Bay","","Offroad","$75 000","6x6","Always On","Always On","47","0,60","51","0,65","200","210000","11010","19,07","Truck","Medium","1, front","Raised","Custom Tuned","","Active","UAD;
JAT ATMD (DLC)","","UOD;
JAT OMD (DLC)","ANKO","JAT MMD (DLC)","AMHS","UAD chains","100","x2","JAT MMD I","Truck Trailer","","","","","","","","","","","","2-slot cargo Bed +Trailer","","","","","","","","Futom-S logging trailer
Futom-M logging trailer","","","","","","","","","2","","","","","A12V-780","175000","15,89","ank_mk38.xml","","",""
"ANK Mk.38 Civilian","","FALSE","","","Ontario","Burned Forest","","Offroad","$75 000","6x6","Always On","Always On","47","0,60","51","0,65","200","210000","10816","19,42","Truck","Medium","1, front","Raised","","","Active","UAD;
JAT ATMD (DLC)","","UOD;
JAT OMD (DLC)","ANKO","JAT MMD (DLC)","JAT MMD (DLC)","UAD chains","100","x2","JAT MMD I","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","SaddleHigh","Fuel Heavy Semi (5000L)","","","","","","","","","","","","","","Futom-S logging trailer
Futom-M logging trailer","YES","1800","1800","800-6","","","","","2","","","","","A12V-780","175000","16,18","ank_mk38_ht.xml","","",""
"Ankatra 1160","Year 4
Season 14","TRUE","Contract","","Austria","Unterfeld","""An Old Friend""","Offroad","$130 300","6x6","Switchable","Switchable","47","0,60","47","0,60","180","150000","12213","12,28","Special (Ankantra)","Medium","1, front","","","","","","ATHS","","OHS;
JAT OHS (DLC)","DMHS;
JAT MHS (DLC);
Ankatra MHS I","Ankatra MHS II","","","","Ankatra MHS II","Truck Trailer","","Farm Trailer","","","","","","","","Ankatra crane","","","","","","","","","","Futom-S logging trailer
Futom-M logging trailer","","","","","","","","","","","","","","Metra V51-D70","115000","9,42","ankatra_1160.xml","","",""
"Aramatsu Forester","Year 2 - Season 6","TRUE","Task","","Maine","The Lowland","""Abandoned Titan""","Heavy","$38 000","8x8","Always On","Switchable","52","0,66","52","0,66","340","192000","18600","10,32","Special","Heavy","0, articulated","","","","","","","","","MHS II;
JAT MHS (DLC)","","","200","","JAT MHS IV","Truck Trailer","","","","","","","","","","Aramatsu crane","","","","","","Short Logs Addon +LogCrane +Trailer","Medium Logs Addon +LogCrane+Trailer","","","Futom-S logging trailer
Futom-M logging trailer","","","","","","","","","","","","","","Si-8V / 2300","160000","8,60","aramatsu_forester.xml","","",""
"AVENHORN A15","Dragon Wagons Dual Pack","FALSE","","","","","","Heavy","$177 700","8x8","Always On","Always On","57","0,73","57","0,73","400","270200","24474,6","11,04","Special (A15)","Heavy","2, front","","","","","ATMD;
JAT ATHD (DLC)","","OHD;
JAT OHD (DLC)","","AVENHORN A15 tires","","OHD chains","400","x2","AVENHORN A15","Truck Trailer","","","","","SaddleHigh","Fuel Heavy Semi (5000L)","SLEI-64","PC-320 (A15)","","LP-4","","2-slot cargo Bed +Trailer","","","Saddle High + crane","Short Logs Addon +Trailer","","LogCarrierFront +LogCrane","","Futom-S logging trailer
Futom-M logging trailer","YES","1800","1800","800-6","300-2-300
300-5-1400","","","","2","SeismicVibrator","","","Articulated Towing Platform","Columbus V12 302D","218150","8,91","avenhorn_a15.xml","","",""
"Azov 42-40 Antarctic","","TRUE","Driver's Rank","26","","","","Heavy","$140 700","6x6","Always On","Switchable","71","0,90","71","0,90","340","260000","30650","8,48","Special","Heavy","0, articulated","","","","","","","","","MSH;
JAT MSH (DLC)","","","600","","JAT MSH III","Truck Trailer","","","","","","","","","","LP-4","","2-slot cargo Bed +Trailer","","","","","","LogCarrierFront","","Futom-S logging trailer
Futom-M logging trailer","","","","","","","","","","","","","Ramped Towing Platform","KZGT-8 490","205000","6,69","azov_4220_antarctic","","",""
"Azov 43-191 ""Sprinter""","Year 2 - Season 7","TRUE","Task","","Tennessee","","""Racing Truck Delivery""","Offroad","$82 100","4x4","Always On","Always On","47","0,60","47","0,60","350","250000","10318","24,23","Truck","Medium","1, front","","","","","","ATHS;
SPO","","OHS;
JAT OHS (DLC)","DMHS;
JAT MHS (DLC)","","MHS chains","200","","OHS II","","","","","","","","","","","","","","","","","","","","","","","","","","","","350-4-200","350-4-200","","","","","","Azov AM-8 14","170000","16,48","azov_43_191_sprinter.xml","","",""
