"Make and Model Марка и модель","DLC Required Требуемое DLC","Needs to be unlocked Нужно ли открывать","Unlocked by Открывается по","Rank
requirement Требуемый уровень","Found in region Находится в регионе","Found on map Находится на карте","Contract or task name for unlock Название контракта/поручения для открытия","Vehicle Class Класс авто","Truck Store Price Цена в магазине грузовиков","Drivetrain Тип привода","All-wheel drive Полный привод","Differential locking Блокировка дифференциала","Tire Diameter Stock (in) Диаметр колёс в стоке (дюймы)","Tire Diameter Max (in) Макс. диаметр колёс (дюймы)","Fuel Capacity (L) Объем бака (л)","Top Engine Torque Крут. момент топ движка","Total Mass with wheels Полная масса c колёсами","Torque to Mass Ratio Отношение момент/масса","Gearboxes Коробки передач","Winches Лебёдки","Steering axles Поворотные оси","Raised Suspension Высокая подвеска","Custom Suspension Заказная подвеска","Active Suspension Активная подвеска","Double all-terrain tires Спаренные вседорожные шины","Single all-terrain tires Одинарные вседорожные шины","Double offroad tires Спаренные внедорожные шины","Single offroad tires Одинарные внедорожные шины","Mud tires Шины для грязи","Flotation tires Болотные шины","Chained tires Шины с цепями","Mass per tire Масса каждой шины","Rear axle mass scale (for doubles) Умножение массы для задней оси","Recommended by VladVulcan VladVulcan рекомендует","Truck Trailer Грузовые прицепы","Scout Trailer Скаутские прицепы","Farming Trailer Сельхоз прицепы","Saddle Low Низкое седло","Saddle Low Tankers Бочки под низкое седло","Saddle High Высокое седло","Saddle High Tanker Бочка под высокое седло","Loading Crane Манипулятор","Big Crane Большой кран","Superheavy Crane Сверхтяжелый кран","Log Crane Кран для бревен","1-slot Bed 1-слотовая платформа","2-slot Bed 2-слотовая платформа","3-slot Bed  3-слотовая платформа","4-slot Bed  4-слотовая платформа","Crane + Saddle combo  КОМБО: кран + седло ","Short Log Addon Модуль для коротких брёвен","Medium Log Addon Модуль для средних брёвен","Log Carrier Front (Long logs) Роспуск для длинных брёвен","LogCrane + LowSaddle Combo КОМБО: кран ЛП-4 и низкое седло","Futom Logging Trailers Прицепы-лесовозы Futom","Foldable Logging Semitrailer (Long Logs) Складной полуприцеп-лесовоз (длинные бревна)","Frame Fuel Tank (L) Бак для топлива (л)","Frame Water Tank (L) Бак для воды (л)","Van Body Addon (Repairs - Wheels) Ремонтный кунг (ремонт - запаски)","Frame Maintenance Addon (Repairs - Wheels - Fuel) Сервисный модуль для ТО (ремонт - запаски - литры)","Multi-purpose Cargo Module
(Repairs - Wheels - Fuel) Многоцелевой грузовой модуль
(ремонт - запаски - литры)","Roof Rack with supplies (Repairs -Wheels - Fuel) Багажник на крышу и/или в кузов (ремонт - запаски - литры)","Maximum Supplies
(Repairs -Wheels - Fuel) Максимум припасов
(ремонт - запаски - литры)","Spare wheel addon (Pcs) Запасное колесо (шт.)","Seismic Vibrator Сейсмовибратор","Metal Detector Металло-
детектор","Metal Detector+ anything combo КОМБО: детектор + что-то еще","Towing Platform Платформа эвакуатора","Base Engine Базовый движок","Stock Torque Крутящий
момент в стоке","Torque-to-Mass ratio
stock Отношение
крут. момент/масса
в стоке","Truck file name
in the initial.pak Имя файла грузовика
в архиве игры","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Updated:
June 26th, 2026",""," Exploration","","","","","","Highway","","","Switchable","Switchable","1 =","78,74","","","","AAC-58DW","Scout+
Special (AAC)","Scout","1, front","Raised","Custom Tuned","Active","","AS
Ultima AT (DLC)","","AAC-58DW tires
OS + JAT OS","MS
JAT MS (DLC)","","CS
Ultima CS (DLC)","","","AAC 58DW tires","Truck Trailer","Scout Trailer","Farm Trailer","SaddleLow","Fuel/Water Semi (3700L)","SaddleHigh","Fuel Heavy Semi (5000L)","Narrow/Wide Forks","","","","1-slot Cargo Bed","2-slot Cargo Bed","3-slot Cargo Bed","4-slot Cargo Bed","Both saddles + crane","Short Logs Addon","MediumLogs","","LogCrane + LowSaddle","Futom-S logging trailer
Futom-M logging trailer","YES","","","","","450-4-250
+Crane +1SlotBed","150-0-120","","1","SeismicVibrator","Metal Detector","MD+SaddleLow","Ramped Towing Platform","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Последнее обновление:
26 июня, 2026","","Contract","","","","","","Шоссейный","","","Подключаемый","Подключаемая","","",",,","","","AAC-58DW","Скаутские+
Специальная (AAC)","Лёгкие","1, передняя","Высокая","Заказная","Активная","UAD
JAT ATMD (DLC)","","UOD
JAT OMD (DLC)","ANKO","JAT MMD (DLC)","AMHS","UAD chains","","","JAT MMD I","Грузовые прицепы","Скаутские прицепы","Сельхоз прицепы","Низкое седло","ПП топливо/ вода (3700л)","Высокое седло","Тяжелый ПП топливо (5000л)","Узкие/Широкие вилы","","","","1-слотовая платформа","2-слотовая платформа","3-слотовая платформа","4-слотовая платформа","Оба седла+кран","Укороченный лесовоз","Средний лесовоз","","Кран ЛП-4 + низкое седло","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","ДА","","","","","450-4-250
+кран+1СлотБорт","","","1","СейсмоВибратор","Металло-
детектор","МД+НизкоеСедло","Платформа эвакуатора с рампой","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"This work was made possible thanks to J.S. Mill and his orignal spreadsheet here","","Task","","","","","","Heavy Duty","","","Always On","Always On","","","","","","","Scout","Medium","0, articulated","","","Dead Axle","UAD
JAT ATMD (DLC)","","UOD
JAT OMD (DLC)","ANKO","JAT MMD (DLC)","JAT MMD (DLC)","UAD chains","","","JAT MMD I","","","","CAT 770G saddle","","","","K-700 loader","","","","1-slot cargo Bed +Trailer","2-slot cargo Bed +Trailer","3-slot cargo Bed +Trailer","4-slot cargo Bed +Trailer","Saddle High + crane","Short Logs Addon +Trailer","MediumLogs +Trailer","LogCarrierFront","","","","1800","1800","800-6","","400-4-400 +1SlotBed","","","1","SeismicVibrator +Trailer","","MD+SaddleHigh","Articulated Towing Platform","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Driver's Rank","","","","","","Грузовой","","","Постоянный","Постоянная","","","","","","","Скаутские","Средние","0, сочлененная рама","","","Подъёмная ось","","","","","MHS II
JAT MHS (DLC)","","","","","JAT MHS IV","","","","Седло CAT 770G","","","","Захват K-700","","","","1-слотовая
платформа +прицеп","2-слотовая
платформа +прицеп","3-слотовая
платформа +прицеп","4-слотовая
платформа +прицеп","Высокое седло + кран","Укороченный лесовоз +Прицеп","Средний лесовоз + прицеп","Передний роспуск","","","","","","","","400-4-400
+1СлотБорт","","","","СейсмоВибратор +Прицеп","","МД+ВысокоеСедло","Подвижная платформа эвакуатора ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Эта работа стала возможной благодаря Дж. С. Миллю и его оригинальной таблице здесь","","Разведка","","","","","","Heavy","","","None","None","","","","","","","Truck","Heavy","2, front","","","Crawler","","","","","MSH
JAT MSH (DLC)","","","","","JAT MSH III","","","","","","","","","","","LP-4","1-slot cargo
Bed +Crane +Trailer","2-slot cargo 
Bed +Crane +Trailer","3-slot cargo
Bed +Crane +Trailer","4-slot cargo
Bed +Crane +Trailer","Saddle Low + crane","Short Logs Addon +LogCrane +Trailer","Medium Logs Addon +LogCrane+Trailer","LogCarrierFront +LogCrane","","","","","","","","300-2-200
+1SlotBed","","","","","","MD+SaddleHigh
MD+SaddleLow","Articulated Towing Platform
Ramped Towing Platform","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Контракт","","","","","","Тяжелый","","","Нет","Нет","","","","","","","Грузовые","Тяжелые","2, передние","","","Всепроходная","","SPO (Sprinter)
ATHS
JAT ATHS (DLC)","","OHS
JAT OHS (DLC)","DMHS
JAT MHS (DLC)","","MHS chains","","","OHS II","","","","","","","","","","","ЛП-4","1-слотовая
платформа +кран +прицеп","2-слотовая
платформа +кран +прицеп","3-слотовая
платформа +кран +прицеп","4-слотовая
платформа +кран +прицеп","Низкое седло + кран","Укороченный лесовоз +КМУ +Прицеп","Средний лесовоз +КМУ +Прицеп","Передний роспуск +КМУ","","","","","","","","300-2-200
+1СлотБорт","150-0-50","","","","","МД+НизкоеСедло
МД+ВысокоеСедло","Платформа эвакуатора с рампой
Подвижная платформа эвакуатора ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UPDATE IN PROGRESS","","Поручение","","","","","","Offroad","","","","","","","","","","","Special","Medium +
Autonomous","3, 2 front + 1 rear","","","","","","","","","","","","","","","","","","","","","","","","Aramatsu crane","Multi-purpose Cargo Module +Trailer","Container Carrier (only supports containers and special cargo)","","","","","","","","","","1800","1800","800-6","300-5-1400","","","","1","","","MD+2-slotSB/FB
MD+SaddleHigh
MD+SaddleLow","Tatra Tow Module","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ОБНОВЛЕНИЕ В ПРОЦЕССЕ","","Уровень водителя","","","","","","Вездеход","","","","","","","","","","","Для спецтехники","Средние +автономная","3, 2 передние + 1 задняя","","","","","","","","","","","","","","","","","","","","","","","","Кран Aramatsu ","Многофункциональный грузовой модуль + прицеп","Контейнеровоз (поддерживает лишь контейнеры и специальный груз)","","","","","","","","","","1800","1800","800-6","300-5-1400","","","","1","","","МД+2СлотБТ/ПФ
МД+НизкоеСедло
МД+ВысокоеСедло","Модуль тягача Татры","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Exploration
or Task","","","","","","Scout","","","","","","","","","","","Special (612H)","","2, front+rear","","","","","","","","","","","","","","","","","","","","","","","","","Multi-purpose Cargo Module +IM50+ Trailer","","","","","","","","LogCrane + LowSaddle","","","","1800","","300-4-2500","","150-0-120","","","","","MD+LogCarrierFront
MD+SaddleHigh
MD+SaddleLow","Articulated Towing Platform
Ramped Towing Platform
Vehicle Extraction Kit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Разведка или Поручение","","","","","","Скаут","","","","","","","","","","","Для спецтехники (612H)","","2, перед + зад","","","","","","","","","","","","","","","","","","","","","","","","","Многофункциональный грузовой модуль +IM50 +прицеп","","","","","","","","LogCrane + LowSaddle","","","1800","1800","800-6","350-6-2000","","","","2","","","МД+ПереднийРоспуск
МД+НизкоеСедло
МД+ВысокоеСедло","Эвакуатор с рампой
Подвижный эвакуатор
Комплект для эвакуации","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
