"Русский Season 18 Последнее обновление:
26 июня, 2026 Эта работа стала возможной благодаря Дж. С. Миллю и его оригинальной таблице здесь Марка и модель","Поддержать проект через криптовалюту USDT (TRC20): TL4VWRZYuesxdVey6hp4TujJFHEUAf9NfN  Донаты на развитие таблицы очень приветствуются! Требуемое DLC","Нужно ли открывать","Открывается по","Требуемый уровень","Находится в регионе","Находится на карте","Название контракта/поручения для открытия","Класс авто","Цена в магазине грузовиков","Тип привода","Полный привод","Блокировка дифференциала","Диаметр колёс в стоке (дюймы)","Scale stock","Макс. диаметр колёс (дюймы)","Scale max","Объем бака (л)","Крут. момент топ движка","Полная масса c колёсами","Отношение момент/масса","Коробки передач","Лебёдки","Поворотные оси","Поддержать проект через криптовалюту USDT (TRC20): TL4VWRZYuesxdVey6hp4TujJFHEUAf9NfN  Донаты на развитие таблицы очень приветствуются! Высокая подвеска","Заказная подвеска","Crawler
Suspension","Активная подвеска","Спаренные вседорожные шины","Одинарные вседорожные шины","Спаренные внедорожные шины","Одинарные внедорожные шины","Шины для грязи","Болотные шины","Шины с цепями","Масса каждой шины","Умножение массы для задней оси","VladVulcan рекомендует","Грузовые прицепы","Скаутские прицепы","Сельхоз прицепы","Низкое седло","Бочки под низкое седло","Высокое седло","Бочка под высокое седло","Манипулятор","Поддержать проект через криптовалюту USDT (TRC20): TL4VWRZYuesxdVey6hp4TujJFHEUAf9NfN  Донаты на развитие таблицы очень приветствуются! Большой кран","Сверхтяжелый кран","Кран для бревен","1-слотовая платформа","2-слотовая платформа","3-слотовая платформа","4-слотовая платформа","КОМБО: кран + седло ","Модуль для коротких брёвен","Модуль для средних брёвен","Роспуск для длинных брёвен","КОМБО: кран ЛП-4 и низкое седло","Прицепы-лесовозы Futom","Складной полуприцеп-лесовоз (длинные бревна)","Бак для топлива (л)","Бак для воды (л)","Ремонтный кунг (ремонт - запаски)","Сервисный модуль для ТО (ремонт - запаски - литры)","Многоцелевой грузовой модуль
(ремонт - запаски - литры)","Поддержать проект через криптовалюту USDT (TRC20): TL4VWRZYuesxdVey6hp4TujJFHEUAf9NfN  Донаты на развитие таблицы очень приветствуются! Багажник на крышу и/или в кузов (ремонт - запаски - литры)","Максимум припасов
(ремонт - запаски - литры)","Запасное колесо (шт.)","Сейсмовибратор","Металло-
детектор","КОМБО: детектор + что-то еще","Платформа эвакуатора","Базовый движок","Крутящий
момент в стоке","Отношение
крут. момент/масса
в стоке","Имя файла грузовика
в архиве игры","","",""
"HIB Billert M816","Year 5
Season 18","TRUE","Поручение","","Chiapas","Costa Atardecer","""Fix and fuel up the truck""","Шоссейный","$34 800","6x6","Подключаемый","Подключаемая","46","0,58","49","0,62","280","182950","10256","17,84","Custom (M816)","Средние","1, передняя","Высокая","","","","ATMD;
JAT ATHD (DLC)
M816 tires","","OHD;
JAT OHD (DLC)","","","","OHD chains","220","x2","OHD I","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","Высокое седло","Тяжелый ПП топливо (5000л)","SLEI-64","","","ЛП-4","1-слотовая
платформа +кран +прицеп","","","","Оба седла+кран","","","Передний роспуск","Кран ЛП-4 + низкое седло","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","ДА","","","800-6","","","150-0-200","","","","","","","","115808","11,29","hib_billert_m816.xml","","",""
"Mercer R230","Year 5
Season 18","TRUE","Поручение","","Chiapas","Sierra Fuerte","""Back to work""","Вездеход","$95 400","6x6","Постоянный","Подключаемая","47","0,60","51","0,65","320","165240","10720","15,41","Special (R230)","Средние","1, передняя","Высокая","","Всепроходная","","ATMD;
JAT ATHD (DLC)","","OHD;
JAT OHD (DLC)
R230 tires","","","","OHD chains","200","x2","OHD I","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","","","IM50
LC 3.8","","","ЛП-4","1-слотовая
платформа +кран +прицеп","2-слотовая платформа","","","Низкое седло + кран","Укороченный лесовоз","","Передний роспуск +КМУ","Кран ЛП-4 + низкое седло","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","","1800","1800","800-6","450-4-140","","","","2","СейсмоВибратор +Прицеп","","","Подвижная платформа эвакуатора ","","120250","11,22","mercer_6x6r_230.xml","","",""
"AAC 58DW","Year 4
Season 13","TRUE","Поручение","","Almaty Region","Zherbai Quarries","""A Great Deal""","Скаут","$24 000","4x4","Подключаемый","Постоянная","32","0,41","35","0,44","60","110000","4016","27,39","Скаутские+
Специальная (AAC)","Лёгкие","1, передняя","Высокая","","","","","AS;
Ultima AT (DLC)","","OS + JAT OS;
AAC-58DW tires","MS;
JAT MS (DLC)","","CS;
Ultima CS (DLC)","75","","AAC 58DW tires
JAT MS III","","Скаутские прицепы","","","","","","","","","","","","","","","","","","","","","","","","","","150-0-120","","2","","","","","AAT-6V 4,0","35000","8,72","aac_58dw.xml","","",""
"ANK Mk.38","","TRUE","Разведка","","Alaska","Pedro Bay","","Вездеход","$75 000","6x6","Постоянный","Постоянная","47","0,60","51","0,65","200","210000","11010","19,07","Грузовые","Средние","1, передняя","Высокая","Заказная","","Активная","UAD;
JAT ATMD (DLC)","","UOD;
JAT OMD (DLC)","ANKO","JAT MMD (DLC)","AMHS","UAD chains","100","x2","JAT MMD I","Грузовые прицепы","","","","","","","","","","","","2-слотовая
платформа +прицеп","","","","","","","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","","","","","","","","","2","","","","","A12V-780","175000","15,89","ank_mk38.xml","","",""
"ANK Mk.38 Civilian","","FALSE","","","Ontario","Burned Forest","","Вездеход","$75 000","6x6","Постоянный","Постоянная","47","0,60","51","0,65","200","210000","10816","19,42","Грузовые","Средние","1, передняя","Высокая","","","Активная","UAD;
JAT ATMD (DLC)","","UOD;
JAT OMD (DLC)","ANKO","JAT MMD (DLC)","JAT MMD (DLC)","UAD chains","100","x2","JAT MMD I","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","Высокое седло","Тяжелый ПП топливо (5000л)","","","","","","","","","","","","","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","ДА","1800","1800","800-6","","","","","2","","","","","A12V-780","175000","16,18","ank_mk38_ht.xml","","",""
"Ankatra 1160","Year 4
Season 14","TRUE","Контракт","","Austria","Unterfeld","""An Old Friend""","Вездеход","$130 300","6x6","Подключаемый","Подключаемая","47","0,60","47","0,60","180","150000","12213","12,28","Для спецтехники (Ankatra)","Средние","1, передняя","","","","","","ATHS","","OHS;
JAT OHS (DLC)","DMHS;
JAT MHS (DLC);
Ankatra MHS I","Ankatra MHS II","","","","Ankatra MHS II","Грузовые прицепы","","Сельхоз прицепы","","","","","","","","Ankatra crane","","","","","","","","","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","","","","","","","","","","","","","","Metra V51-D70","115000","9,42","ankatra_1160.xml","","",""
"Aramatsu Forester","Year 2 - Season 6","TRUE","Поручение","","Maine","The Lowland","""Abandoned Titan""","Тяжелый","$38 000","8x8","Постоянный","Подключаемая","52","0,66","52","0,66","340","192000","18600","10,32","Для спецтехники","Тяжелые","0, сочлененная рама","","","","","","","","","MHS II;
JAT MHS (DLC)","","","200","","JAT MHS IV","Грузовые прицепы","","","","","","","","","","Кран Aramatsu ","","","","","","Укороченный лесовоз +КМУ +Прицеп","Средний лесовоз +КМУ +Прицеп","","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","","","","","","","","","","","","","","Si-8V / 2300","160000","8,60","aramatsu_forester.xml","","",""
"AVENHORN A15","Dragon Wagons Dual Pack","FALSE","","","","","","Heavy","$177 700","8x8","Постоянный","Постоянная","57","0,73","57","0,73","400","270200","24474,6","11,04","Special (A15)","Тяжелые","2, передние","","","","","ATMD;
JAT ATHD (DLC)","","OHD;
JAT OHD (DLC)","","AVENHORN A15 tires","","OHD chains","400","x2","AVENHORN A15","Грузовые прицепы","","","","","Высокое седло","Тяжелый ПП топливо (5000л)","SLEI-64","PC-320 (A15)","","ЛП-4","","2-слотовая
платформа +прицеп","","","Saddle High + crane","Укороченный лесовоз +Прицеп","","Передний роспуск +КМУ","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","ДА","1800","1800","800-6","300-2-300
300-5-1400","","","","2","СейсмоВибратор","","","Подвижная платформа эвакуатора ","Columbus V12 302D","218150","8,91","avenhorn_a15.xml","","",""
"Azov 42-40 Antarctic","","TRUE","Уровень водителя","26","","","","Тяжелый","$140 700","6x6","Постоянный","Подключаемая","71","0,90","71","0,90","340","260000","30650","8,48","Для спецтехники","Тяжелые","0, сочлененная рама","","","","","","","","","MSH;
JAT MSH (DLC)","","","600","","JAT MSH III","Грузовые прицепы","","","","","","","","","","ЛП-4","","2-слотовая
платформа +прицеп","","","","","","Передний роспуск","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","","","","","","","","","","","","","Платформа эвакуатора с рампой","KZGT-8 490","205000","6,69","azov_4220_antarctic","","",""
"Azov 43-191 ""Sprinter""","Year 2 - Season 7","TRUE","Поручение","","Tennessee","","""Racing Truck Delivery""","Вездеход","$82 100","4x4","Постоянный","Постоянная","47","0,60","47","0,60","350","250000","10318","24,23","Грузовые","Средние","1, передняя","","","","","","ATHS;
SPO","","OHS;
JAT OHS (DLC)","DMHS;
JAT MHS (DLC)","","MHS chains","200","","OHS II","","","","","","","","","","","","","","","","","","","","","","","","","","","","350-4-200","350-4-200","","","","","","Azov AM-8 14","170000","16,48","azov_43_191_sprinter.xml","","",""
